Para um tabuleiro 4x4 existem duas soluções:

Solução 1:

0 0 1 0
1 0 0 0
0 0 0 1
0 1 0 0

Solução 2:

0 1 0 0
0 0 0 1
1 0 0 0
0 0 1 0

Dados coletados:

<------  N-Queens Solutions  -----> <---- time ---->
 N:           Total                         hh:mm:ss
 5:              10                             0.00
 6:               4                             0.00
 7:              40                             0.00
 8:              92                             0.00
 9:             352                             0.00
10:             724                             0.00
11:            2680                             0.00
12:           14200                             0.00
13:           73712                             0.02
14:          365596                             0.05
15:         2279184                             0.22
16:        14772512                             1.47
17:        95815104                             9.42
18:       666090624                          1:11.21
19:      4968057848                          8:32.54
20:     39029188884                       1:10:55.48
21:    314666222712                       9:24:40.50
